"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",8.61126763027903,0.296532502815487,0.999250071668768,0.296755047833294,0.766653526873879,0.976952982817135
"WASH7P",501.077434950001,-0.375668442835489,0.251144740208357,-1.49582444977276,0.134699408166431,0.736933250311194
"MIR6859-1",19.0832830782102,-0.581933702611257,0.479411379151306,-1.21385041723758,0.224804849694194,0.812950449930915
"MIR1302-2HG",0.852776773568417,-0.251049812445068,1.96873677308809,-0.127518221773894,0.898530252021697,NA
"MIR1302-2",0.10649138126417,0.572977336226655,3.81694647031143,0.150114061248521,0.880674626419532,NA
"FAM138A",4.27729054514734,-1.36482793646226,1.12553022801327,-1.21260886868528,0.225279396524099,NA
"OR4F5",0,NA,NA,NA,NA,NA
"LOC100996442",104.559591227214,-0.33695024449135,0.48458706100544,-0.695334794520169,0.486845513714118,0.920294241731554
"LOC729737",340.038155721062,-0.34446844205867,0.4520689578566,-0.761982073911694,0.446070703163303,0.912549808400884
"DDX11L17",14.2693051713047,0.327848799804869,0.988977532207956,0.331502778503902,0.740264742585677,0.972487697997122
"WASH9P",546.826765837379,-0.22039866179126,0.265992925844268,-0.828588433664952,0.407337335119096,0.901976954158151
"MIR6859-2",15.5260235790041,-0.169639846435084,0.543976729522873,-0.311851292947543,0.755153540319204,0.975228097839117
"LOC107985721",2.29375916178122,0.576548675787703,1.18397984509271,0.486958184446591,0.626287964364733,NA
"LOC112268260",35.0734187195631,0.0268276463457222,0.569847542264881,0.0470786383303414,0.96245055259921,0.995112627459115
"OR4F29",0.264809806924085,-0.148355170589281,3.81694647031143,-0.0388675009574281,0.968996027459344,NA
"LOC100132287",372.119264649671,-0.543025789001372,0.42972423957839,-1.2636610621131,0.206351706594159,0.803501906077609
"LOC105378947",2.00503650187573,-0.908921478141663,1.49114852729098,-0.609544563473453,0.542163543994262,NA
"LOC101928626",0.663481792668266,-2.91974013953807,3.4342002045213,-0.850195086382583,0.395216633106661,NA
"MIR12136",7503.10156853535,0.0574208083058546,0.343769239931792,0.167033002479359,0.867344081468235,0.989250197625383
"OR4F16",5.58937261343945,-0.558095850615263,0.969770733225183,-0.575492569010815,0.564958214872814,0.942834319266461
"LOC100133331",385.183503491304,-0.531277355919969,0.419528060316275,-1.26636906127196,0.205380982190149,0.80335236444658
"LOC107984841",65.9768819943316,-0.790173670841863,0.662464412042349,-1.19277904816923,0.232955917715721,0.817459658953429
"LOC107984847",110.27730701225,-1.18932535175233,0.718315448789581,-1.65571456629039,0.0977796360491882,0.678224527854474
"LOC107984849",20.2977569065454,-0.74619837961158,0.81374318522018,-0.916994935459491,0.35914529402113,0.889057479988463
"LOC100288069",74.1460653360754,-0.412214398843889,0.484774020896105,-0.850322791807015,0.395145648378649,0.900044464371348
"LINC01409",23.3868595985644,0.0357689624484541,0.474671503873973,0.0753551922888358,0.939932109170521,0.993901572455196
"FAM87B",21.5161120578247,-0.0874202943288457,0.617431242382141,-0.141587092340137,0.887406163031857,0.991159681750608
"LINC00115",51.9423155457593,-0.344924605183371,0.362733116717731,-0.950904643900443,0.341652784192624,0.884318809120908
"LINC01128",908.063677561216,0.486195408931873,0.364841703309262,1.3326201597073,0.182656486010811,0.785085537850571
"LOC107984850",1.31512209261982,1.54364510806079,1.98203096862118,0.778819873402201,0.436085829200317,NA
"FAM41C",7.31735697047978,-0.557089346392443,0.739232337952984,-0.75360521691338,0.451086310821964,0.913210964374057
"LOC284600",18.0745810822528,-4.70968653667699,1.46235846600946,-3.22061016238308,NA,NA
"LINC02593",28.8981308409816,-0.414358272154485,0.571477677653122,-0.725064667190717,0.468412359177963,0.915336847366558
"LOC107985728",27.4502253145889,-0.72572352470825,0.812280353119283,-0.893439711943492,0.371621744079043,0.894457046755588
"SAMD11",155.323801471889,-0.401694434094035,0.327222464806704,-1.22758819242842,0.219601596508059,0.810758079803069
"NOC2L",1021.01743821792,-0.00592866747100062,0.177206094660269,-0.0334563406657474,0.973310681425982,0.996941224132256
"KLHL17",124.825062277162,-0.427414972106436,0.485598101082578,-0.880182544275955,0.37876042816106,0.895785716033199
"PLEKHN1",16.2132413894379,-0.180025923631154,0.512442070740627,-0.351309804386209,0.725355940305936,0.97106188560685
"PERM1",5.89633701112346,-1.51509716226275,1.10245794343454,-1.37429021332342,0.169351603380839,0.773723056520971
"HES4",107.055887604191,0.688411280259242,0.635138590884192,1.08387569286396,0.278419918333094,0.851833909139794
"ISG15",157.289023217569,0.617657627776957,0.517794661872442,1.19286210009078,0.232923384416393,0.817459658953429
"AGRN",2311.59703419616,-0.0531865840558396,0.31721253789902,-0.167668606064905,0.866843995229513,0.989233796880983
"LOC100288175",2.57020756435963,-0.312868571037372,1.16305356577179,-0.269006157794422,0.787924944046396,NA
"LOC112267874",1.22771055834608,0.282499162174042,2.01486216093577,0.140207686486524,0.888495898958851,NA
"LOC105378948",4.3119028956927,-0.652638783190846,1.34463194575538,-0.485366114683682,0.627416664509517,NA
"RNF223",0,NA,NA,NA,NA,NA
"C1orf159",173.723164092887,-0.547231212828965,0.289100256746616,-1.89287695205539,0.0583742349540404,0.579676205632307
"LINC01342",2.92097913729397,-3.20149445862301,1.71452686896486,-1.8672757578631,0.0618630889427435,NA
"MIR200B",0.212982762528339,1.30079181844121,3.78912010967144,0.343296538719119,0.731375384477966,NA
"MIR200A",0.236417995696668,1.4306359332296,3.77576666156418,0.378899455782824,0.704762528347207,NA
"MIR429",0.300117326719438,-1.11013785178028,3.81694647031143,-0.290844490593473,0.771170256869753,NA
"TTLL10-AS1",30.7452742593196,0.842634334268195,0.73855550631309,1.14092214744248,0.253902322052346,0.83623826926673
"TTLL10",37.7111026606635,0.944811639605229,0.557976351601593,1.69328258606889,0.0904016911629228,0.661401718073898
"TNFRSF18",12.7272082418971,1.10758931707793,0.685154051423189,1.61655515978818,0.10597433763743,0.691559532021979
